trial,variant,source,skew,keys,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
4,j5_n32,zipf,1,100000,1000000,1024,32,32,23599368,596016,403984,402960
4,j5_n16,zipf,1,100000,1000000,1024,64,16,29114377,599404,400596,399572
4,j5_n8,zipf,1,100000,1000000,1024,128,8,33609708,601160,398840,397816
4,j5_n4,zipf,1,100000,1000000,1024,256,4,48468064,601663,398337,397313
4,orig,zipf,1,100000,1000000,4096,4096,1,28336287,705635,294365,290269
4,j5_n128,zipf,1,100000,1000000,4096,32,128,20314148,706937,293063,288967
4,j5_n64,zipf,1,100000,1000000,4096,64,64,23865877,708367,291633,287537
4,j5_n32,zipf,1,100000,1000000,4096,128,32,27602125,707475,292525,288429
4,j5_n16,zipf,1,100000,1000000,4096,256,16,41845696,707067,292933,288837
4,orig,zipf,1,100000,1000000,16384,16384,1,21157018,814191,185809,169425
4,j5_n512,zipf,1,100000,1000000,16384,32,512,19957412,813264,186736,170352
4,j5_n256,zipf,1,100000,1000000,16384,64,256,22386458,813665,186335,169951
4,j5_n128,zipf,1,100000,1000000,16384,128,128,25742666,813980,186020,169636
4,j5_n64,zipf,1,100000,1000000,16384,256,64,34690799,814065,185935,169551
4,orig,zipf,1.2,100000,1000000,1024,1024,1,18383273,841056,158944,157920
4,j5_n32,zipf,1.2,100000,1000000,1024,32,32,16956548,838820,161180,160156
4,j5_n16,zipf,1.2,100000,1000000,1024,64,16,18114570,841174,158826,157802
4,j5_n8,zipf,1.2,100000,1000000,1024,128,8,19841972,842483,157517,156493
4,j5_n4,zipf,1.2,100000,1000000,1024,256,4,26400543,841884,158116,157092
4,orig,zipf,1.2,100000,1000000,4096,4096,1,17867236,897791,102209,98113
4,j5_n128,zipf,1.2,100000,1000000,4096,32,128,13875596,897179,102821,98725
4,j5_n64,zipf,1.2,100000,1000000,4096,64,64,15027766,897380,102620,98524
4,j5_n32,zipf,1.2,100000,1000000,4096,128,32,16915083,897545,102455,98359
4,j5_n16,zipf,1.2,100000,1000000,4096,256,16,22993294,897547,102453,98357
4,orig,zipf,1.2,100000,1000000,16384,16384,1,15497847,937388,62612,46228
4,j5_n512,zipf,1.2,100000,1000000,16384,32,512,14232783,936865,63135,46751
4,j5_n256,zipf,1.2,100000,1000000,16384,64,256,15299878,937166,62834,46450
4,j5_n128,zipf,1.2,100000,1000000,16384,128,128,16245760,937310,62690,46306
4,j5_n64,zipf,1.2,100000,1000000,16384,256,64,20904345,937317,62683,46299
5,orig,zipf,0.9,100000,1000000,1024,1024,1,35355490,450302,549698,548674
5,j5_n32,zipf,0.9,100000,1000000,1024,32,32,28776172,449015,550985,549961
5,j5_n16,zipf,0.9,100000,1000000,1024,64,16,31924116,450560,549440,548416
5,j5_n8,zipf,0.9,100000,1000000,1024,128,8,36453669,452267,547733,546709
5,j5_n4,zipf,0.9,100000,1000000,1024,256,4,51871548,451887,548113,547089
5,orig,zipf,0.9,100000,1000000,4096,4096,1,30558296,570385,429615,425519
5,j5_n128,zipf,0.9,100000,1000000,4096,32,128,25122348,573862,426138,422042
5,j5_n64,zipf,0.9,100000,1000000,4096,64,64,27466277,574667,425333,421237
5,j5_n32,zipf,0.9,100000,1000000,4096,128,32,34344777,574376,425624,421528
5,j5_n16,zipf,0.9,100000,1000000,4096,256,16,49916455,573727,426273,422177
5,orig,zipf,0.9,100000,1000000,16384,16384,1,25741306,716034,283966,267582
5,j5_n512,zipf,0.9,100000,1000000,16384,32,512,22614568,716178,283822,267438
5,j5_n256,zipf,0.9,100000,1000000,16384,64,256,24560503,716374,283626,267242
5,j5_n128,zipf,0.9,100000,1000000,16384,128,128,31095702,716088,283912,267528
5,j5_n64,zipf,0.9,100000,1000000,16384,256,64,42611658,716106,283894,267510
5,orig,zipf,1,100000,1000000,1024,1024,1,25288089,598348,401652,400628
5,j5_n32,zipf,1,100000,1000000,1024,32,32,21592866,596016,403984,402960
5,j5_n16,zipf,1,100000,1000000,1024,64,16,27272167,599404,400596,399572
5,j5_n8,zipf,1,100000,1000000,1024,128,8,30305034,601160,398840,397816
5,j5_n4,zipf,1,100000,1000000,1024,256,4,46031503,601663,398337,397313
5,orig,zipf,1,100000,1000000,4096,4096,1,24558489,705635,294365,290269
5,j5_n128,zipf,1,100000,1000000,4096,32,128,20989021,706937,293063,288967
5,j5_n64,zipf,1,100000,1000000,4096,64,64,23135586,708367,291633,287537
5,j5_n32,zipf,1,100000,1000000,4096,128,32,25859066,707475,292525,288429
5,j5_n16,zipf,1,100000,1000000,4096,256,16,38938894,707067,292933,288837
5,orig,zipf,1,100000,1000000,16384,16384,1,20414626,814191,185809,169425
5,j5_n512,zipf,1,100000,1000000,16384,32,512,17368357,813264,186736,170352
5,j5_n256,zipf,1,100000,1000000,16384,64,256,20186088,813665,186335,169951
5,j5_n128,zipf,1,100000,1000000,16384,128,128,23466995,813980,186020,169636
5,j5_n64,zipf,1,100000,1000000,16384,256,64,31479913,814065,185935,169551
5,orig,zipf,1.2,100000,1000000,1024,1024,1,17340286,841056,158944,157920
5,j5_n32,zipf,1.2,100000,1000000,1024,32,32,15107647,838820,161180,160156
5,j5_n16,zipf,1.2,100000,1000000,1024,64,16,17237178,841174,158826,157802
5,j5_n8,zipf,1.2,100000,1000000,1024,128,8,19564768,842483,157517,156493
5,j5_n4,zipf,1.2,100000,1000000,1024,256,4,26107818,841884,158116,157092
5,orig,zipf,1.2,100000,1000000,4096,4096,1,16205873,897791,102209,98113
5,j5_n128,zipf,1.2,100000,1000000,4096,32,128,13876248,897179,102821,98725
5,j5_n64,zipf,1.2,100000,1000000,4096,64,64,15001370,897380,102620,98524
5,j5_n32,zipf,1.2,100000,1000000,4096,128,32,16816218,897545,102455,98359
5,j5_n16,zipf,1.2,100000,1000000,4096,256,16,21773068,897547,102453,98357
5,orig,zipf,1.2,100000,1000000,16384,16384,1,13418900,937388,62612,46228
5,j5_n512,zipf,1.2,100000,1000000,16384,32,512,12906936,936865,63135,46751
5,j5_n256,zipf,1.2,100000,1000000,16384,64,256,13722903,937166,62834,46450
5,j5_n128,zipf,1.2,100000,1000000,16384,128,128,15503865,937310,62690,46306
5,j5_n64,zipf,1.2,100000,1000000,16384,256,64,21096890,937317,62683,46299
