trial,variant,cluster,len,capacity,elapsed_ns,hits,misses,evictions
2,c15s_8_n64,cluster019,1000000,1024,101764863,305972,694028,693004
2,c15s_8_n64,cluster019,1000000,2048,176782490,312023,687977,685929
2,c15s_8_n64,cluster019,1000000,4096,325121236,315706,684294,680198
2,c15s_4_n64,cluster019,1000000,1024,107139161,305772,694228,693204
2,c15s_4_n64,cluster019,1000000,2048,189774775,311913,688087,686039
2,c15s_4_n64,cluster019,1000000,4096,345023463,315835,684165,680069
3,c14s_n64,cluster019,1000000,1024,128662083,305930,694070,693046
3,c14s_n64,cluster019,1000000,2048,231689575,312325,687675,685627
3,c14s_n64,cluster019,1000000,4096,437303952,316021,683979,679883
3,c15s_16_n64,cluster019,1000000,1024,100667553,305542,694458,693434
3,c15s_16_n64,cluster019,1000000,2048,175779388,312042,687958,685910
3,c15s_16_n64,cluster019,1000000,4096,325679499,315754,684246,680150
3,c15s_8_n64,cluster019,1000000,1024,102443747,305972,694028,693004
3,c15s_8_n64,cluster019,1000000,2048,176522127,312023,687977,685929
3,c15s_8_n64,cluster019,1000000,4096,328817632,315706,684294,680198
3,c15s_4_n64,cluster019,1000000,1024,103822601,305772,694228,693204
3,c15s_4_n64,cluster019,1000000,2048,186685525,311913,688087,686039
3,c15s_4_n64,cluster019,1000000,4096,347822812,315835,684165,680069
4,c14s_n64,cluster019,1000000,1024,124862208,305930,694070,693046
4,c14s_n64,cluster019,1000000,2048,234751081,312325,687675,685627
4,c14s_n64,cluster019,1000000,4096,439062790,316021,683979,679883
4,c15s_16_n64,cluster019,1000000,1024,98735374,305592,694408,693384
4,c15s_16_n64,cluster019,1000000,2048,177203432,311821,688179,686131
4,c15s_16_n64,cluster019,1000000,4096,334659425,315785,684215,680119
4,c15s_8_n64,cluster019,1000000,1024,98378056,305646,694354,693330
4,c15s_8_n64,cluster019,1000000,2048,183728318,311936,688064,686016
4,c15s_8_n64,cluster019,1000000,4096,337615019,315906,684094,679998
4,c15s_4_n64,cluster019,1000000,1024,110572833,305938,694062,693038
4,c15s_4_n64,cluster019,1000000,2048,197799256,311978,688022,685974
4,c15s_4_n64,cluster019,1000000,4096,354754499,315892,684108,680012
5,c14s_n64,cluster019,1000000,1024,129970911,305930,694070,693046
5,c14s_n64,cluster019,1000000,2048,241609823,312325,687675,685627
5,c14s_n64,cluster019,1000000,4096,443576055,316021,683979,679883
5,c15s_16_n64,cluster019,1000000,1024,99535310,305592,694408,693384
5,c15s_16_n64,cluster019,1000000,2048,169480460,311821,688179,686131
5,c15s_16_n64,cluster019,1000000,4096,329054994,315785,684215,680119
5,c15s_8_n64,cluster019,1000000,1024,100272242,305646,694354,693330
5,c15s_8_n64,cluster019,1000000,2048,179750221,311936,688064,686016
5,c15s_8_n64,cluster019,1000000,4096,340093856,315906,684094,679998
5,c15s_4_n64,cluster019,1000000,1024,106802065,305938,694062,693038
5,c15s_4_n64,cluster019,1000000,2048,187902119,311978,688022,685974
5,c15s_4_n64,cluster019,1000000,4096,341708727,315892,684108,680012
1,c14s_n64,cluster034,1000000,1024,86094239,303747,696253,695229
1,c14s_n64,cluster034,1000000,2048,145577375,331798,668202,666154
1,c14s_n64,cluster034,1000000,4096,255912275,355495,644505,640409
1,c15s_16_n64,cluster034,1000000,1024,81391006,298755,701245,700221
1,c15s_16_n64,cluster034,1000000,2048,159107610,320402,679598,677550
1,c15s_16_n64,cluster034,1000000,4096,280416797,339590,660410,656314
1,c15s_8_n64,cluster034,1000000,1024,83709479,301423,698577,697553
1,c15s_8_n64,cluster034,1000000,2048,139029415,325650,674350,672302
1,c15s_8_n64,cluster034,1000000,4096,265488181,345223,654777,650681
