trial,variant,workload,skew,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
3,moka,zipf,0.6,1000000,16384,0,0,827997761,413876,586124,0
3,orig,zipf,0.6,1000000,65536,65536,1,28901097,770684,229316,163780
3,j8_n2048,zipf,0.6,1000000,65536,32,2048,32445351,766341,233659,168146
3,mini_moka,zipf,0.6,1000000,65536,0,0,430622389,769966,230034,0
3,moka,zipf,0.6,1000000,65536,0,0,748130533,769421,230579,0
3,orig,zipf,0.8,1000000,1024,1024,1,38526864,309067,690933,689909
3,j8_n32,zipf,0.8,1000000,1024,32,32,29515780,311111,688889,687865
3,mini_moka,zipf,0.8,1000000,1024,0,0,430120310,290391,709609,0
3,moka,zipf,0.8,1000000,1024,0,0,742074930,289875,710125,0
3,orig,zipf,0.8,1000000,4096,4096,1,40265813,432521,567479,563383
3,j8_n128,zipf,0.8,1000000,4096,32,128,29566135,438115,561885,557789
3,mini_moka,zipf,0.8,1000000,4096,0,0,407313169,434306,565694,0
3,moka,zipf,0.8,1000000,4096,0,0,742305160,434457,565543,0
3,orig,zipf,0.8,1000000,16384,16384,1,33717879,606609,393391,377007
3,j8_n512,zipf,0.8,1000000,16384,32,512,28820605,608253,391747,375363
3,mini_moka,zipf,0.8,1000000,16384,0,0,379834079,614631,385369,0
3,moka,zipf,0.8,1000000,16384,0,0,658971679,615831,384169,0
3,orig,zipf,0.8,1000000,65536,65536,1,21862344,848244,151756,86220
3,j8_n2048,zipf,0.8,1000000,65536,32,2048,25602258,844211,155789,90290
3,mini_moka,zipf,0.8,1000000,65536,0,0,385523382,845707,154293,0
3,moka,zipf,0.8,1000000,65536,0,0,589626619,846363,153637,0
3,orig,zipf,1.0,1000000,1024,1024,1,27319844,598348,401652,400628
3,j8_n32,zipf,1.0,1000000,1024,32,32,25161650,596016,403984,402960
3,mini_moka,zipf,1.0,1000000,1024,0,0,344136235,589728,410272,0
3,moka,zipf,1.0,1000000,1024,0,0,549422218,589845,410155,0
3,orig,zipf,1.0,1000000,4096,4096,1,26407766,705635,294365,290269
3,j8_n128,zipf,1.0,1000000,4096,32,128,22368633,706937,293063,288967
3,mini_moka,zipf,1.0,1000000,4096,0,0,316391654,707710,292290,0
3,moka,zipf,1.0,1000000,4096,0,0,524904578,708036,291964,0
3,orig,zipf,1.0,1000000,16384,16384,1,21363419,814191,185809,169425
3,j8_n512,zipf,1.0,1000000,16384,32,512,20155618,813264,186736,170352
3,mini_moka,zipf,1.0,1000000,16384,0,0,309432051,817118,182882,0
3,moka,zipf,1.0,1000000,16384,0,0,503522151,816977,183023,0
3,orig,zipf,1.0,1000000,65536,65536,1,17199086,913192,86808,21272
3,j8_n2048,zipf,1.0,1000000,65536,32,2048,18135680,910796,89204,24210
3,mini_moka,zipf,1.0,1000000,65536,0,0,322813653,913088,86912,0
3,moka,zipf,1.0,1000000,65536,0,0,412438975,912924,87076,0
