variant,trial,op_mix,skew,keys,threads,cap,shards,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
moka,0,read-heavy,0.7,1000000,8,16384,0,32000000,4764162328,6.7168,0.2470,1140.71,2007.68,0.0061
moka,1,read-heavy,0.7,1000000,8,16384,0,32000000,4974853339,6.4324,0.2469,1171.83,2191.07,0.0031
moka,2,read-heavy,0.7,1000000,8,16384,0,32000000,4825854602,6.6309,0.2467,1149.44,2013.15,0.0120
mini_moka,0,read-heavy,0.7,1000000,8,16384,0,32000000,4827539650,6.6286,0.2472,1175.79,1765.59,0.0084
mini_moka,1,read-heavy,0.7,1000000,8,16384,0,32000000,5219915010,6.1304,0.2477,1245.29,2091.30,0.0132
mini_moka,2,read-heavy,0.7,1000000,8,16384,0,32000000,4853242694,6.5935,0.2477,1182.94,1874.49,0.0049
c8,0,read-heavy,0.7,1000000,16,16384,256,64000000,2072716065,30.8774,0.2435,469.64,1361.06,0.0154
c8,1,read-heavy,0.7,1000000,16,16384,256,64000000,2087092048,30.6647,0.2433,472.81,1357.30,0.0184
c8,2,read-heavy,0.7,1000000,16,16384,256,64000000,2079739506,30.7731,0.2436,469.52,1429.54,0.0234
c9,0,read-heavy,0.7,1000000,16,16384,256,64000000,2342492550,27.3213,0.2436,514.68,1642.09,0.0117
c9,1,read-heavy,0.7,1000000,16,16384,256,64000000,2275870487,28.1211,0.2434,508.97,1407.57,0.0140
c9,2,read-heavy,0.7,1000000,16,16384,256,64000000,2332602482,27.4372,0.2437,519.65,1459.92,0.0144
moka,0,read-heavy,0.7,1000000,16,16384,0,64000000,7200231226,8.8886,0.2444,1662.39,3712.04,0.0092
moka,1,read-heavy,0.7,1000000,16,16384,0,64000000,7221218140,8.8628,0.2441,1668.39,3786.28,0.0100
moka,2,read-heavy,0.7,1000000,16,16384,0,64000000,7294184706,8.7741,0.2444,1679.96,3789.80,0.0092
mini_moka,0,read-heavy,0.7,1000000,16,16384,0,64000000,8622895885,7.4221,0.2485,1997.50,4571.44,0.0116
mini_moka,1,read-heavy,0.7,1000000,16,16384,0,64000000,9037647430,7.0815,0.2490,1955.24,5629.33,0.0166
mini_moka,2,read-heavy,0.7,1000000,16,16384,0,64000000,9004838681,7.1073,0.2485,2058.50,5535.35,0.0074
c8,0,read-heavy,1,1000000,1,16384,256,4000000,407196573,9.8233,0.6485,96.00,217.13,0.0000
c8,1,read-heavy,1,1000000,1,16384,256,4000000,410865370,9.7355,0.6485,94.87,211.80,0.0000
